site_xn_route,month,direction,weekpart,season,sum_flow,sample_count
10223,Apr,All directions,All weeks,Autumn,116515,42
10223,Apr,Northbound,All weeks,Autumn,59829,42
10223,Apr,Southbound,All weeks,Autumn,56686,42
10223,Aug,All directions,All weeks,Winter,94174,40
10223,Aug,Northbound,All weeks,Winter,47741,40
10223,Aug,Southbound,All weeks,Winter,46433,40
10223,Dec,All directions,All weeks,Summer,82559,36
10223,Dec,Northbound,All weeks,Summer,42549,36
10223,Dec,Southbound,All weeks,Summer,40010,36
10223,Feb,All directions,All weeks,Summer,112113,41
10223,Feb,Northbound,All weeks,Summer,57348,41
10223,Feb,Southbound,All weeks,Summer,54765,41
10223,Jan,All directions,All weeks,Summer,116263,45
10223,Jan,Northbound,All weeks,Summer,59582,45
10223,Jan,Southbound,All weeks,Summer,56681,45
10223,Jul,All directions,All weeks,Winter,79882,37
10223,Jul,Northbound,All weeks,Winter,40544,37
10223,Jul,Southbound,All weeks,Winter,39338,37
10223,Jun,All directions,All weeks,Winter,83448,41
10223,Jun,Northbound,All weeks,Winter,42157,41
10223,Jun,Southbound,All weeks,Winter,41291,41
10223,Mar,All directions,All weeks,Autumn,113928,42
10223,Mar,Northbound,All weeks,Autumn,58452,42
10223,Mar,Southbound,All weeks,Autumn,55476,42
10223,May,All directions,All weeks,Autumn,102043,45
10223,May,Northbound,All weeks,Autumn,51666,45
10223,May,Southbound,All weeks,Autumn,50377,45
10223,Nov,All directions,All weeks,Spring,87231,36
10223,Nov,Northbound,All weeks,Spring,44676,36
10223,Nov,Southbound,All weeks,Spring,42555,36
10223,Oct,All directions,All weeks,Spring,106198,41
10223,Oct,Northbound,All weeks,Spring,54101,41
10223,Oct,Southbound,All weeks,Spring,52097,41
10223,Sep,All directions,All weeks,Spring,103056,37
10223,Sep,Northbound,All weeks,Spring,52667,37
10223,Sep,Southbound,All weeks,Spring,50389,37
10225,Apr,All directions,All weeks,Autumn,194658,43
10225,Apr,Northbound,All weeks,Autumn,90392,43
10225,Apr,Southbound,All weeks,Autumn,104266,43
10225,Aug,All directions,All weeks,Winter,152476,40
10225,Aug,Northbound,All weeks,Winter,70428,40
10225,Aug,Southbound,All weeks,Winter,82048,40
10225,Dec,All directions,All weeks,Summer,115989,36
10225,Dec,Northbound,All weeks,Summer,54413,36
10225,Dec,Southbound,All weeks,Summer,61576,36
10225,Feb,All directions,All weeks,Summer,213584,41
10225,Feb,Northbound,All weeks,Summer,100903,41
10225,Feb,Southbound,All weeks,Summer,112681,41
10225,Jan,All directions,All weeks,Summer,178478,45
10225,Jan,Northbound,All weeks,Summer,84572,45
10225,Jan,Southbound,All weeks,Summer,93906,45
10225,Jul,All directions,All weeks,Winter,133373,37
10225,Jul,Northbound,All weeks,Winter,62868,37
10225,Jul,Southbound,All weeks,Winter,70505,37
10225,Jun,All directions,All weeks,Winter,149317,41
10225,Jun,Northbound,All weeks,Winter,69996,41
10225,Jun,Southbound,All weeks,Winter,79321,41
10225,Mar,All directions,All weeks,Autumn,218247,42
10225,Mar,Northbound,All weeks,Autumn,102344,42
10225,Mar,Southbound,All weeks,Autumn,115903,42
10225,May,All directions,All weeks,Autumn,197104,45
10225,May,Northbound,All weeks,Autumn,90780,45
10225,May,Southbound,All weeks,Autumn,106324,45
10225,Nov,All directions,All weeks,Spring,142634,35
10225,Nov,Northbound,All weeks,Spring,66906,35
10225,Nov,Southbound,All weeks,Spring,75728,35
10225,Oct,All directions,All weeks,Spring,180731,41
10225,Oct,Northbound,All weeks,Spring,83523,41
10225,Oct,Southbound,All weeks,Spring,97208,41
10225,Sep,All directions,All weeks,Spring,149463,37
10225,Sep,Northbound,All weeks,Spring,69380,37
10225,Sep,Southbound,All weeks,Spring,80083,37
10484,Apr,All directions,All weeks,Autumn,297314,42
10484,Apr,Northbound,All weeks,Autumn,155327,42
10484,Apr,Southbound,All weeks,Autumn,141987,42
10484,Aug,All directions,All weeks,Winter,223293,40
10484,Aug,Northbound,All weeks,Winter,115079,40
10484,Aug,Southbound,All weeks,Winter,108214,40
10484,Dec,All directions,All weeks,Summer,228278,36
10484,Dec,Northbound,All weeks,Summer,118716,36
10484,Dec,Southbound,All weeks,Summer,109562,36
10484,Feb,All directions,All weeks,Summer,365713,41
10484,Feb,Northbound,All weeks,Summer,190478,41
10484,Feb,Southbound,All weeks,Summer,175235,41
10484,Jan,All directions,All weeks,Summer,350060,45
10484,Jan,Northbound,All weeks,Summer,183154,45
10484,Jan,Southbound,All weeks,Summer,166906,45
10484,Jul,All directions,All weeks,Winter,202642,37
10484,Jul,Northbound,All weeks,Winter,104402,37
10484,Jul,Southbound,All weeks,Winter,98240,37
10484,Jun,All directions,All weeks,Winter,229714,41
10484,Jun,Northbound,All weeks,Winter,119049,41
10484,Jun,Southbound,All weeks,Winter,110665,41
10484,Mar,All directions,All weeks,Autumn,334961,42
10484,Mar,Northbound,All weeks,Autumn,174826,42
10484,Mar,Southbound,All weeks,Autumn,160135,42
10484,May,All directions,All weeks,Autumn,287067,45
10484,May,Northbound,All weeks,Autumn,149426,45
10484,May,Southbound,All weeks,Autumn,137641,45
10484,Nov,All directions,All weeks,Spring,263444,36
10484,Nov,Northbound,All weeks,Spring,135938,36
10484,Nov,Southbound,All weeks,Spring,127506,36
10484,Oct,All directions,All weeks,Spring,295767,41
10484,Oct,Northbound,All weeks,Spring,151086,41
10484,Oct,Southbound,All weeks,Spring,144681,41
10484,Sep,All directions,All weeks,Spring,244131,37
10484,Sep,Northbound,All weeks,Spring,125656,37
10484,Sep,Southbound,All weeks,Spring,118475,37
10486,Apr,All directions,All weeks,Autumn,509094,42
10486,Apr,Northbound,All weeks,Autumn,256082,42
10486,Apr,Southbound,All weeks,Autumn,253012,42
10486,Aug,All directions,All weeks,Winter,393420,40
10486,Aug,Northbound,All weeks,Winter,193114,40
10486,Aug,Southbound,All weeks,Winter,200306,40
10486,Dec,All directions,All weeks,Summer,284004,36
10486,Dec,Northbound,All weeks,Summer,142276,36
10486,Dec,Southbound,All weeks,Summer,141728,36
10486,Feb,All directions,All weeks,Summer,572384,41
10486,Feb,Northbound,All weeks,Summer,284792,41
10486,Feb,Southbound,All weeks,Summer,287592,41
10486,Jan,All directions,All weeks,Summer,476306,45
10486,Jan,Northbound,All weeks,Summer,228377,45
10486,Jan,Southbound,All weeks,Summer,247929,45
10486,Jul,All directions,All weeks,Winter,312690,37
10486,Jul,Northbound,All weeks,Winter,160149,37
10486,Jul,Southbound,All weeks,Winter,152541,33
