site_xn_route,time_bin,direction,weekpart,season,sum_flow,sample_count
10223,00:00:00,All directions,Weekday,Autumn,49,40
10223,00:00:00,All directions,Weekday,Spring,42,27
10223,00:00:00,All directions,Weekday,Summer,61,51
10223,00:00:00,All directions,Weekday,Winter,20,18
10223,00:00:00,All directions,Weekend,Autumn,57,42
10223,00:00:00,All directions,Weekend,Spring,30,21
10223,00:00:00,All directions,Weekend,Summer,42,33
10223,00:00:00,All directions,Weekend,Winter,44,29
10223,00:00:00,Northbound,Weekday,Autumn,27,23
10223,00:00:00,Northbound,Weekday,Spring,21,15
10223,00:00:00,Northbound,Weekday,Summer,18,17
10223,00:00:00,Northbound,Weekday,Winter,10,10
10223,00:00:00,Northbound,Weekend,Autumn,24,19
10223,00:00:00,Northbound,Weekend,Spring,12,10
10223,00:00:00,Northbound,Weekend,Summer,19,15
10223,00:00:00,Northbound,Weekend,Winter,24,16
10223,00:00:00,Southbound,Weekday,Autumn,22,20
10223,00:00:00,Southbound,Weekday,Spring,21,18
10223,00:00:00,Southbound,Weekday,Summer,43,35
10223,00:00:00,Southbound,Weekday,Winter,10,8
10223,00:00:00,Southbound,Weekend,Autumn,33,26
10223,00:00:00,Southbound,Weekend,Spring,18,14
10223,00:00:00,Southbound,Weekend,Summer,23,20
10223,00:00:00,Southbound,Weekend,Winter,20,18
10223,01:00:00,All directions,Weekday,Autumn,32,28
10223,01:00:00,All directions,Weekday,Spring,28,18
10223,01:00:00,All directions,Weekday,Summer,25,21
10223,01:00:00,All directions,Weekday,Winter,20,19
10223,01:00:00,All directions,Weekend,Autumn,35,26
10223,01:00:00,All directions,Weekend,Spring,21,19
10223,01:00:00,All directions,Weekend,Summer,16,15
10223,01:00:00,All directions,Weekend,Winter,23,20
10223,01:00:00,Northbound,Weekday,Autumn,19,17
10223,01:00:00,Northbound,Weekday,Spring,18,15
10223,01:00:00,Northbound,Weekday,Summer,13,11
10223,01:00:00,Northbound,Weekday,Winter,11,11
10223,01:00:00,Northbound,Weekend,Autumn,14,12
10223,01:00:00,Northbound,Weekend,Spring,8,7
10223,01:00:00,Northbound,Weekend,Summer,8,7
10223,01:00:00,Northbound,Weekend,Winter,6,6
10223,01:00:00,Southbound,Weekday,Autumn,13,12
10223,01:00:00,Southbound,Weekday,Spring,10,8
10223,01:00:00,Southbound,Weekday,Summer,12,11
10223,01:00:00,Southbound,Weekday,Winter,9,8
10223,01:00:00,Southbound,Weekend,Autumn,21,16
10223,01:00:00,Southbound,Weekend,Spring,13,13
10223,01:00:00,Southbound,Weekend,Summer,8,8
10223,01:00:00,Southbound,Weekend,Winter,17,14
10223,02:00:00,All directions,Weekday,Autumn,9,8
10223,02:00:00,All directions,Weekday,Spring,27,19
