site_xn_route,weekday,direction,weekpart,season,sum_flow,sample_count
10223,Fri,All directions,Weekday,Autumn,45102,130
10223,Fri,All directions,Weekday,Spring,38494,115
10223,Fri,All directions,Weekday,Summer,36536,121
10223,Fri,All directions,Weekday,Winter,31653,117
10223,Fri,Northbound,Weekday,Autumn,22908,130
10223,Fri,Northbound,Weekday,Spring,19472,115
10223,Fri,Northbound,Weekday,Summer,18489,121
10223,Fri,Northbound,Weekday,Winter,15861,117
10223,Fri,Southbound,Weekday,Autumn,22194,130
10223,Fri,Southbound,Weekday,Spring,19022,115
10223,Fri,Southbound,Weekday,Summer,18047,121
10223,Fri,Southbound,Weekday,Winter,15792,117
10223,Mon,All directions,Weekday,Autumn,46120,129
10223,Mon,All directions,Weekday,Spring,36537,114
10223,Mon,All directions,Weekday,Summer,39050,121
10223,Mon,All directions,Weekday,Winter,32060,118
10223,Mon,Northbound,Weekday,Autumn,23452,129
10223,Mon,Northbound,Weekday,Spring,18439,114
10223,Mon,Northbound,Weekday,Summer,19846,121
10223,Mon,Northbound,Weekday,Winter,16134,118
10223,Mon,Southbound,Weekday,Autumn,22668,129
10223,Mon,Southbound,Weekday,Spring,18098,114
10223,Mon,Southbound,Weekday,Summer,19204,121
10223,Mon,Southbound,Weekday,Winter,15926,118
10223,Sat,All directions,Weekend,Autumn,46991,128
10223,Sat,All directions,Weekend,Spring,42551,115
10223,Sat,All directions,Weekend,Summer,42831,122
10223,Sat,All directions,Weekend,Winter,40362,118
10223,Sat,Northbound,Weekend,Autumn,24345,128
10223,Sat,Northbound,Weekend,Spring,22005,115
10223,Sat,Northbound,Weekend,Summer,22394,122
10223,Sat,Northbound,Weekend,Winter,20822,118
10223,Sat,Southbound,Weekend,Autumn,22646,128
10223,Sat,Southbound,Weekend,Spring,20546,115
10223,Sat,Southbound,Weekend,Summer,20437,122
10223,Sat,Southbound,Weekend,Winter,19540,118
10223,Sun,All directions,Weekend,Autumn,63517,130
10223,Sun,All directions,Weekend,Spring,63872,115
10223,Sun,All directions,Weekend,Summer,59636,121
10223,Sun,All directions,Weekend,Winter,53698,117
10223,Sun,Northbound,Weekend,Autumn,33086,130
10223,Sun,Northbound,Weekend,Spring,33232,115
10223,Sun,Northbound,Weekend,Summer,30920,121
10223,Sun,Northbound,Weekend,Winter,27621,117
10223,Sun,Southbound,Weekend,Autumn,30431,130
10223,Sun,Southbound,Weekend,Spring,30640,115
10223,Sun,Southbound,Weekend,Summer,28716,121
10223,Sun,Southbound,Weekend,Winter,26077,117
10223,Thu,All directions,Weekday,Autumn,42426,129
10223,Thu,All directions,Weekday,Spring,38518,114
