site_xn_route,date,time_bin,direction,total_flow
10223,2014-12-01,03:00:00,All directions,1
10223,2014-12-01,03:00:00,Northbound,1
10223,2014-12-01,04:00:00,All directions,12
10223,2014-12-01,04:00:00,Northbound,7
10223,2014-12-01,04:00:00,Southbound,5
10223,2014-12-01,05:00:00,All directions,49
10223,2014-12-01,05:00:00,Northbound,30
10223,2014-12-01,05:00:00,Southbound,19
10223,2014-12-01,06:00:00,All directions,98
10223,2014-12-01,06:00:00,Northbound,56
10223,2014-12-01,06:00:00,Southbound,42
10223,2014-12-01,07:00:00,All directions,163
10223,2014-12-01,07:00:00,Northbound,82
10223,2014-12-01,07:00:00,Southbound,81
10223,2014-12-01,08:00:00,All directions,235
10223,2014-12-01,08:00:00,Northbound,132
10223,2014-12-01,08:00:00,Southbound,103
10223,2014-12-01,09:00:00,All directions,282
10223,2014-12-01,09:00:00,Northbound,159
10223,2014-12-01,09:00:00,Southbound,123
10223,2014-12-01,10:00:00,All directions,219
10223,2014-12-01,10:00:00,Northbound,116
10223,2014-12-01,10:00:00,Southbound,103
10223,2014-12-01,11:00:00,All directions,245
10223,2014-12-01,11:00:00,Northbound,136
10223,2014-12-01,11:00:00,Southbound,109
10223,2014-12-01,12:00:00,All directions,158
10223,2014-12-01,12:00:00,Northbound,79
10223,2014-12-01,12:00:00,Southbound,79
10223,2014-12-01,13:00:00,All directions,196
10223,2014-12-01,13:00:00,Northbound,106
10223,2014-12-01,13:00:00,Southbound,90
10223,2014-12-01,14:00:00,All directions,223
10223,2014-12-01,14:00:00,Northbound,110
10223,2014-12-01,14:00:00,Southbound,113
10223,2014-12-01,15:00:00,All directions,271
10223,2014-12-01,15:00:00,Northbound,141
10223,2014-12-01,15:00:00,Southbound,130
10223,2014-12-01,16:00:00,All directions,234
10223,2014-12-01,16:00:00,Northbound,122
10223,2014-12-01,16:00:00,Southbound,112
10223,2014-12-01,17:00:00,All directions,142
10223,2014-12-01,17:00:00,Northbound,66
10223,2014-12-01,17:00:00,Southbound,76
10223,2014-12-01,18:00:00,All directions,81
10223,2014-12-01,18:00:00,Northbound,41
10223,2014-12-01,18:00:00,Southbound,40
10223,2014-12-01,19:00:00,All directions,43
10223,2014-12-01,19:00:00,Northbound,24
10223,2014-12-01,19:00:00,Southbound,19
10223,2014-12-01,20:00:00,All directions,8
10223,2014-12-01,20:00:00,Northbound,4
10223,2014-12-01,20:00:00,Southbound,4
10223,2014-12-01,21:00:00,All directions,10
10223,2014-12-01,21:00:00,Northbound,5
10223,2014-12-01,21:00:00,Southbound,5
10223,2014-12-01,22:00:00,All directions,3
10223,2014-12-01,22:00:00,Northbound,3
10223,2014-12-01,23:00:00,All directions,2
10223,2014-12-01,23:00:00,Southbound,2
10223,2015-01-01,00:00:00,All directions,1
10223,2015-01-01,00:00:00,Southbound,1
10223,2015-01-01,01:00:00,All directions,1
10223,2015-01-01,01:00:00,Northbound,1
10223,2015-01-01,02:00:00,All directions,3
10223,2015-01-01,02:00:00,Southbound,3
10223,2015-01-01,03:00:00,All directions,1
10223,2015-01-01,03:00:00,Southbound,1
10223,2015-01-01,04:00:00,All directions,49
10223,2015-01-01,04:00:00,Northbound,6
10223,2015-01-01,04:00:00,Southbound,43
10223,2015-01-01,05:00:00,All directions,232
10223,2015-01-01,05:00:00,Northbound,99
10223,2015-01-01,05:00:00,Southbound,133
10223,2015-01-01,06:00:00,All directions,676
10223,2015-01-01,06:00:00,Northbound,268
10223,2015-01-01,06:00:00,Southbound,408
10223,2015-01-01,07:00:00,All directions,934
10223,2015-01-01,07:00:00,Northbound,421
10223,2015-01-01,07:00:00,Southbound,513
10223,2015-01-01,08:00:00,All directions,850
10223,2015-01-01,08:00:00,Northbound,446
10223,2015-01-01,08:00:00,Southbound,404
10223,2015-01-01,09:00:00,All directions,1043
10223,2015-01-01,09:00:00,Northbound,553
10223,2015-01-01,09:00:00,Southbound,490
10223,2015-01-01,10:00:00,All directions,955
10223,2015-01-01,10:00:00,Northbound,483
10223,2015-01-01,10:00:00,Southbound,472
10223,2015-01-01,11:00:00,All directions,848
10223,2015-01-01,11:00:00,Northbound,424
10223,2015-01-01,11:00:00,Southbound,424
10223,2015-01-01,12:00:00,All directions,655
10223,2015-01-01,12:00:00,Northbound,311
10223,2015-01-01,12:00:00,Southbound,344
10223,2015-01-01,13:00:00,All directions,674
10223,2015-01-01,13:00:00,Northbound,368
10223,2015-01-01,13:00:00,Southbound,306
10223,2015-01-01,14:00:00,All directions,856
10223,2015-01-01,14:00:00,Northbound,462
10223,2015-01-01,14:00:00,Southbound,394
10223,2015-01-01,15:00:00,All directions,987
10223,2015-01-01,15:00:00,Northbound,529
10223,2015-01-01,15:00:00,Southbound,458
10223,2015-01-01,16:00:00,All directions,1068
10223,2015-01-01,16:00:00,Northbound,596
10223,2015-01-01,16:00:00,Southbound,472
10223,2015-01-01,17:00:00,All directions,729
10223,2015-01-01,17:00:00,Northbound,426
10223,2015-01-01,17:00:00,Southbound,303
10223,2015-01-01,18:00:00,All directions,416
10223,2015-01-01,18:00:00,Northbound,221
10223,2015-01-01,18:00:00,Southbound,195
10223,2015-01-01,19:00:00,All directions,232
10223,2015-01-01,19:00:00,Northbound,115
10223,2015-01-01,19:00:00,Southbound,117
10223,2015-01-01,20:00:00,All directions,56
10223,2015-01-01,20:00:00,Northbound,32
10223,2015-01-01,20:00:00,Southbound,24
10223,2015-01-01,21:00:00,All directions,20
10223,2015-01-01,21:00:00,Northbound,9
10223,2015-01-01,21:00:00,Southbound,11
10223,2015-01-01,22:00:00,All directions,3
10223,2015-01-01,22:00:00,Southbound,3
10223,2015-01-01,23:00:00,All directions,3
10223,2015-01-01,23:00:00,Northbound,1
10223,2015-01-01,23:00:00,Southbound,2
10223,2015-02-01,00:00:00,All directions,1
10223,2015-02-01,00:00:00,Southbound,1
10223,2015-02-01,03:00:00,All directions,1
10223,2015-02-01,03:00:00,Southbound,1
10223,2015-02-01,04:00:00,All directions,62
10223,2015-02-01,04:00:00,Northbound,14
10223,2015-02-01,04:00:00,Southbound,48
10223,2015-02-01,05:00:00,All directions,351
10223,2015-02-01,05:00:00,Northbound,183
10223,2015-02-01,05:00:00,Southbound,168
10223,2015-02-01,06:00:00,All directions,840
10223,2015-02-01,06:00:00,Northbound,271
10223,2015-02-01,06:00:00,Southbound,569
10223,2015-02-01,07:00:00,All directions,1243
10223,2015-02-01,07:00:00,Northbound,601
10223,2015-02-01,07:00:00,Southbound,642
10223,2015-02-01,08:00:00,All directions,1085
10223,2015-02-01,08:00:00,Northbound,538
10223,2015-02-01,08:00:00,Southbound,547
10223,2015-02-01,09:00:00,All directions,809
10223,2015-02-01,09:00:00,Northbound,394
10223,2015-02-01,09:00:00,Southbound,415
10223,2015-02-01,10:00:00,All directions,755
10223,2015-02-01,10:00:00,Northbound,368
10223,2015-02-01,10:00:00,Southbound,387
10223,2015-02-01,11:00:00,All directions,508
10223,2015-02-01,11:00:00,Northbound,234
10223,2015-02-01,11:00:00,Southbound,274
10223,2015-02-01,12:00:00,All directions,441
10223,2015-02-01,12:00:00,Northbound,211
10223,2015-02-01,12:00:00,Southbound,230
10223,2015-02-01,13:00:00,All directions,566
10223,2015-02-01,13:00:00,Northbound,329
10223,2015-02-01,13:00:00,Southbound,237
10223,2015-02-01,14:00:00,All directions,650
