site_xn_route,gps_lat,gps_long,surface_type,region,status,purpose
10223,-37.811591,145.063684,BIKE PATH,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE,Recreational
10225,-37.792786,144.946439,BIKE LANE,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Commuter
10484,-37.831217,144.946739,BIKE PATH,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Commuter
10486,-37.792558,144.958448,BIKE LANE,METRO NORTH WEST,UNIDIRECTIONAL SITE,Commuter
10488,-37.869955,144.988309,BIKE LANE,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Commuter
31602,-37.795233,145.041466,BIKE PATH,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE,Recreational
31747,-37.818227,145.223505,BIKE PATH,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE,Recreational
32021,-37.975480,145.015900,BIKE LANE,METRO SOUTH EAST,City of Bayside,
32493,-37.807417,144.985935,BIKE LANE,METRO NORTH WEST,UNIDIRECTIONAL SITE,Commuter
32612,-37.947603,145.000533,BIKE PATH,METRO SOUTH EAST,Bayside City Council Site,
32614,-37.916759,144.987119,BIKE PATH,METRO SOUTH EAST,Bayside City Council Site,
32615,-37.906133,144.984835,BIKE PATH,METRO SOUTH EAST,Bayside City Council Site,
32616,-37.995028,145.038631,BIKE PATH,METRO SOUTH EAST,Bayside City Council Site,
33179,-37.809076,144.936069,BIKE PATH,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Commuter
34215,-37.780049,144.999490,BIKE LANE,METRO NORTH WEST,City of Darebin Site,Commuter
34216,-37.767252,144.987549,BIKE LANE,METRO NORTH WEST,City of Darebin Site,Commuter
34217,-37.765900,145.005450,BIKE LANE,METRO NORTH WEST,City of Darebin Site,Mix
34271,-37.806396,144.905033,BIKE LANE,METRO NORTH WEST,UNIDIRECTIONAL SITE,Commuter
34314,-37.791660,144.973921,BIKE LANE,METRO NORTH WEST,UNIDIRECTIONAL SITE - Replaced Site 6588,Commuter
34315,-37.779058,145.036991,BIKE PATH,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Recreational
34556,-37.860455,144.735958,BIKE PATH,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Recreational
34675,-37.859297,145.101806,BIKE PATH,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE,
34676,-37.904937,145.128356,BIKE PATH,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE,
34677,-37.801727,144.917431,BIKE PATH,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,
34678,-38.146713,144.354888,BIKE LANE,SOUTHERN,COMBINED BIDIRECTIONAL SITE,
34685,-37.770030,144.959458,BIKE PATH,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,
34686,-38.197023,146.505410,BIKE PATH,EASTERN,COMBINED BIDIRECTIONAL SITE,
34687,-38.157759,144.355960,BIKE LANE,SOUTHERN,COMBINED BIDIRECTIONAL SITE,
40003,-37.786537,144.999561,BIKE LANE,METRO NORTH WEST,POP-UP SITE,
40004,-37.783872,145.007410,BIKE LANE,METRO NORTH WEST,POP-UP SITE,
40005,-37.783500,145.016715,BIKE LANE,METRO NORTH WEST,POP-UP SITE,
40430,-37.807727,144.976897,BIKE LANE,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,
41781,-37.917835,145.127780,BIKE PATH,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE,
41782,-37.854416,145.082086,BIKE PATH,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE,
6411,-37.772347,144.990631,BIKE PATH,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Commuter
6415,-37.827009,144.984261,BIKE PATH,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Commuter
6419,-37.758216,144.980308,BIKE PATH,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Recreational
