site_id,intersection,longitude,latitude,date,time_bin,direction,total_flow,ped,pcl,month,year,totalcount,objectid2,time_0600,time_0700,time_0800,time_1600,time_1700,time_1800,location_objectid
1,"Intersection of Broadway, Lee Street, Quay Street, George Street and Pitt Street",151.20417323654075,-33.882832877360435,2010-03-01,06:00:00,All directions,24,,24,March,2010,287,125,24,42,86,44,42,49,1
1,"Intersection of Broadway, Lee Street, Quay Street, George Street and Pitt Street",151.20417323654075,-33.882832877360435,2010-03-01,07:00:00,All directions,42,,42,March,2010,287,125,24,42,86,44,42,49,1
1,"Intersection of Broadway, Lee Street, Quay Street, George Street and Pitt Street",151.20417323654075,-33.882832877360435,2010-03-01,08:00:00,All directions,86,,86,March,2010,287,125,24,42,86,44,42,49,1
1,"Intersection of Broadway, Lee Street, Quay Street, George Street and Pitt Street",151.20417323654075,-33.882832877360435,2010-03-01,16:00:00,All directions,44,,44,March,2010,287,125,24,42,86,44,42,49,1
1,"Intersection of Broadway, Lee Street, Quay Street, George Street and Pitt Street",151.20417323654075,-33.882832877360435,2010-03-01,17:00:00,All directions,42,,42,March,2010,287,125,24,42,86,44,42,49,1
1,"Intersection of Broadway, Lee Street, Quay Street, George Street and Pitt Street",151.20417323654075,-33.882832877360435,2010-03-01,18:00:00,All directions,49,,49,March,2010,287,125,24,42,86,44,42,49,1
1,"Intersection of Broadway, Lee Street, Quay Street, George Street and Pitt Street",151.20417323654075,-33.882832877360435,2010-10-01,06:00:00,All directions,56,,56,October,2010,436,201,56,104,63,66,100,47,1
1,"Intersection of Broadway, Lee Street, Quay Street, George Street and Pitt Street",151.20417323654075,-33.882832877360435,2010-10-01,07:00:00,All directions,104,,104,October,2010,436,201,56,104,63,66,100,47,1
1,"Intersection of Broadway, Lee Street, Quay Street, George Street and Pitt Street",151.20417323654075,-33.882832877360435,2010-10-01,08:00:00,All directions,63,,63,October,2010,436,201,56,104,63,66,100,47,1
1,"Intersection of Broadway, Lee Street, Quay Street, George Street and Pitt Street",151.20417323654075,-33.882832877360435,2010-10-01,16:00:00,All directions,66,,66,October,2010,436,201,56,104,63,66,100,47,1
1,"Intersection of Broadway, Lee Street, Quay Street, George Street and Pitt Street",151.20417323654075,-33.882832877360435,2010-10-01,17:00:00,All directions,100,,100,October,2010,436,201,56,104,63,66,100,47,1
1,"Intersection of Broadway, Lee Street, Quay Street, George Street and Pitt Street",151.20417323654075,-33.882832877360435,2010-10-01,18:00:00,All directions,47,,47,October,2010,436,201,56,104,63,66,100,47,1
1,"Intersection of Broadway, Lee Street, Quay Street, George Street and Pitt Street",151.20417323654075,-33.882832877360435,2011-03-01,06:00:00,All directions,26,,26,March,2011,373,751,26,57,77,80,79,54,1
1,"Intersection of Broadway, Lee Street, Quay Street, George Street and Pitt Street",151.20417323654075,-33.882832877360435,2011-03-01,07:00:00,All directions,57,,57,March,2011,373,751,26,57,77,80,79,54,1
1,"Intersection of Broadway, Lee Street, Quay Street, George Street and Pitt Street",151.20417323654075,-33.882832877360435,2011-03-01,08:00:00,All directions,77,,77,March,2011,373,751,26,57,77,80,79,54,1
1,"Intersection of Broadway, Lee Street, Quay Street, George Street and Pitt Street",151.20417323654075,-33.882832877360435,2011-03-01,16:00:00,All directions,80,,80,March,2011,373,751,26,57,77,80,79,54,1
1,"Intersection of Broadway, Lee Street, Quay Street, George Street and Pitt Street",151.20417323654075,-33.882832877360435,2011-03-01,17:00:00,All directions,79,,79,March,2011,373,751,26,57,77,80,79,54,1
1,"Intersection of Broadway, Lee Street, Quay Street, George Street and Pitt Street",151.20417323654075,-33.882832877360435,2011-03-01,18:00:00,All directions,54,,54,March,2011,373,751,26,57,77,80,79,54,1
1,"Intersection of Broadway, Lee Street, Quay Street, George Street and Pitt Street",151.20417323654075,-33.882832877360435,2011-10-01,06:00:00,All directions,29,,29,October,2011,467,402,29,90,139,75,64,70,1
1,"Intersection of Broadway, Lee Street, Quay Street, George Street and Pitt Street",151.20417323654075,-33.882832877360435,2011-10-01,07:00:00,All directions,90,,90,October,2011,467,402,29,90,139,75,64,70,1
1,"Intersection of Broadway, Lee Street, Quay Street, George Street and Pitt Street",151.20417323654075,-33.882832877360435,2011-10-01,08:00:00,All directions,139,,139,October,2011,467,402,29,90,139,75,64,70,1
1,"Intersection of Broadway, Lee Street, Quay Street, George Street and Pitt Street",151.20417323654075,-33.882832877360435,2011-10-01,16:00:00,All directions,75,,75,October,2011,467,402,29,90,139,75,64,70,1
1,"Intersection of Broadway, Lee Street, Quay Street, George Street and Pitt Street",151.20417323654075,-33.882832877360435,2011-10-01,17:00:00,All directions,64,,64,October,2011,467,402,29,90,139,75,64,70,1
