time_bin,direction,metric,weekpart,season,sum_flow,sample_count
00:00,All directions,pcl,Weekday,Autumn,2.0,65
00:00,All directions,pcl,Weekday,Spring,5.0,159
00:00,All directions,pcl,Weekday,Summer,2.0,137
00:00,All directions,pcl,Weekday,Winter,1.0,65
00:00,All directions,pcl,Weekend,Autumn,0.0,26
00:00,All directions,pcl,Weekend,Spring,6.0,64
00:00,All directions,pcl,Weekend,Summer,1.0,54
00:00,All directions,pcl,Weekend,Winter,3.0,27
00:00,All directions,ped,Weekday,Autumn,2.0,65
00:00,All directions,ped,Weekday,Spring,3.0,159
00:00,All directions,ped,Weekday,Summer,5.0,137
00:00,All directions,ped,Weekday,Winter,1.0,65
00:00,All directions,ped,Weekend,Autumn,0.0,26
00:00,All directions,ped,Weekend,Spring,1.0,64
00:00,All directions,ped,Weekend,Summer,2.0,54
00:00,All directions,ped,Weekend,Winter,1.0,27
00:00,All directions,total_flow,Weekday,Autumn,4.0,65
00:00,All directions,total_flow,Weekday,Spring,8.0,159
00:00,All directions,total_flow,Weekday,Summer,7.0,137
00:00,All directions,total_flow,Weekday,Winter,2.0,65
00:00,All directions,total_flow,Weekend,Autumn,0.0,26
00:00,All directions,total_flow,Weekend,Spring,7.0,64
00:00,All directions,total_flow,Weekend,Summer,3.0,54
00:00,All directions,total_flow,Weekend,Winter,4.0,27
00:00,Northern Shared Path Eastbound,pcl,Weekday,Autumn,1.0,65
00:00,Northern Shared Path Eastbound,pcl,Weekday,Spring,1.0,159
00:00,Northern Shared Path Eastbound,pcl,Weekday,Summer,0.0,137
00:00,Northern Shared Path Eastbound,pcl,Weekday,Winter,0.0,65
00:00,Northern Shared Path Eastbound,pcl,Weekend,Autumn,0.0,26
00:00,Northern Shared Path Eastbound,pcl,Weekend,Spring,2.0,64
00:00,Northern Shared Path Eastbound,pcl,Weekend,Summer,0.0,54
00:00,Northern Shared Path Eastbound,pcl,Weekend,Winter,3.0,27
00:00,Northern Shared Path Eastbound,ped,Weekday,Autumn,0.0,65
00:00,Northern Shared Path Eastbound,ped,Weekday,Spring,2.0,159
00:00,Northern Shared Path Eastbound,ped,Weekday,Summer,0.0,137
00:00,Northern Shared Path Eastbound,ped,Weekday,Winter,1.0,65
00:00,Northern Shared Path Eastbound,ped,Weekend,Autumn,0.0,26
00:00,Northern Shared Path Eastbound,ped,Weekend,Spring,1.0,64
00:00,Northern Shared Path Eastbound,ped,Weekend,Summer,1.0,54
00:00,Northern Shared Path Eastbound,ped,Weekend,Winter,0.0,27
00:00,Northern Shared Path Eastbound,total_flow,Weekday,Autumn,1.0,65
00:00,Northern Shared Path Eastbound,total_flow,Weekday,Spring,3.0,159
00:00,Northern Shared Path Eastbound,total_flow,Weekday,Summer,0.0,137
00:00,Northern Shared Path Eastbound,total_flow,Weekday,Winter,1.0,65
00:00,Northern Shared Path Eastbound,total_flow,Weekend,Autumn,0.0,26
00:00,Northern Shared Path Eastbound,total_flow,Weekend,Spring,3.0,64
00:00,Northern Shared Path Eastbound,total_flow,Weekend,Summer,1.0,54
00:00,Northern Shared Path Eastbound,total_flow,Weekend,Winter,3.0,27
00:00,Northern Shared Path Westbound,pcl,Weekday,Autumn,0.0,65
00:00,Northern Shared Path Westbound,pcl,Weekday,Spring,0.0,159
00:00,Northern Shared Path Westbound,pcl,Weekday,Summer,0.0,137
00:00,Northern Shared Path Westbound,pcl,Weekday,Winter,0.0,65
00:00,Northern Shared Path Westbound,pcl,Weekend,Autumn,0.0,26
00:00,Northern Shared Path Westbound,pcl,Weekend,Spring,0.0,64
00:00,Northern Shared Path Westbound,pcl,Weekend,Summer,0.0,54
00:00,Northern Shared Path Westbound,pcl,Weekend,Winter,0.0,27
00:00,Northern Shared Path Westbound,ped,Weekday,Autumn,0.0,65
00:00,Northern Shared Path Westbound,ped,Weekday,Spring,0.0,159
00:00,Northern Shared Path Westbound,ped,Weekday,Summer,1.0,137
00:00,Northern Shared Path Westbound,ped,Weekday,Winter,0.0,65
00:00,Northern Shared Path Westbound,ped,Weekend,Autumn,0.0,26
00:00,Northern Shared Path Westbound,ped,Weekend,Spring,0.0,64
00:00,Northern Shared Path Westbound,ped,Weekend,Summer,0.0,54
00:00,Northern Shared Path Westbound,ped,Weekend,Winter,0.0,27
00:00,Northern Shared Path Westbound,total_flow,Weekday,Autumn,0.0,65
00:00,Northern Shared Path Westbound,total_flow,Weekday,Spring,0.0,159
00:00,Northern Shared Path Westbound,total_flow,Weekday,Summer,1.0,137
00:00,Northern Shared Path Westbound,total_flow,Weekday,Winter,0.0,65
00:00,Northern Shared Path Westbound,total_flow,Weekend,Autumn,0.0,26
00:00,Northern Shared Path Westbound,total_flow,Weekend,Spring,0.0,64
00:00,Northern Shared Path Westbound,total_flow,Weekend,Summer,0.0,54
00:00,Northern Shared Path Westbound,total_flow,Weekend,Winter,0.0,27
00:00,Southern Shared Path Eastbound,pcl,Weekday,Autumn,1.0,65
00:00,Southern Shared Path Eastbound,pcl,Weekday,Spring,3.0,159
00:00,Southern Shared Path Eastbound,pcl,Weekday,Summer,2.0,137
00:00,Southern Shared Path Eastbound,pcl,Weekday,Winter,1.0,65
00:00,Southern Shared Path Eastbound,pcl,Weekend,Autumn,0.0,26
00:00,Southern Shared Path Eastbound,pcl,Weekend,Spring,3.0,64
00:00,Southern Shared Path Eastbound,pcl,Weekend,Summer,1.0,54
00:00,Southern Shared Path Eastbound,pcl,Weekend,Winter,0.0,27
00:00,Southern Shared Path Eastbound,ped,Weekday,Autumn,0.0,65
00:00,Southern Shared Path Eastbound,ped,Weekday,Spring,0.0,159
00:00,Southern Shared Path Eastbound,ped,Weekday,Summer,1.0,137
00:00,Southern Shared Path Eastbound,ped,Weekday,Winter,0.0,65
00:00,Southern Shared Path Eastbound,ped,Weekend,Autumn,0.0,26
00:00,Southern Shared Path Eastbound,ped,Weekend,Spring,0.0,64
00:00,Southern Shared Path Eastbound,ped,Weekend,Summer,1.0,54
00:00,Southern Shared Path Eastbound,ped,Weekend,Winter,1.0,27
00:00,Southern Shared Path Eastbound,total_flow,Weekday,Autumn,1.0,65
00:00,Southern Shared Path Eastbound,total_flow,Weekday,Spring,3.0,159
00:00,Southern Shared Path Eastbound,total_flow,Weekday,Summer,3.0,137
00:00,Southern Shared Path Eastbound,total_flow,Weekday,Winter,1.0,65
00:00,Southern Shared Path Eastbound,total_flow,Weekend,Autumn,0.0,26
00:00,Southern Shared Path Eastbound,total_flow,Weekend,Spring,3.0,64
00:00,Southern Shared Path Eastbound,total_flow,Weekend,Summer,2.0,54
00:00,Southern Shared Path Eastbound,total_flow,Weekend,Winter,1.0,27
00:00,Southern Shared Path Westbound,pcl,Weekday,Autumn,0.0,65
00:00,Southern Shared Path Westbound,pcl,Weekday,Spring,1.0,159
00:00,Southern Shared Path Westbound,pcl,Weekday,Summer,0.0,137
00:00,Southern Shared Path Westbound,pcl,Weekday,Winter,0.0,65
00:00,Southern Shared Path Westbound,pcl,Weekend,Autumn,0.0,26
00:00,Southern Shared Path Westbound,pcl,Weekend,Spring,1.0,64
00:00,Southern Shared Path Westbound,pcl,Weekend,Summer,0.0,54
00:00,Southern Shared Path Westbound,pcl,Weekend,Winter,0.0,27
00:00,Southern Shared Path Westbound,ped,Weekday,Autumn,2.0,65
00:00,Southern Shared Path Westbound,ped,Weekday,Spring,1.0,159
00:00,Southern Shared Path Westbound,ped,Weekday,Summer,3.0,137
00:00,Southern Shared Path Westbound,ped,Weekday,Winter,0.0,65
00:00,Southern Shared Path Westbound,ped,Weekend,Autumn,0.0,26
00:00,Southern Shared Path Westbound,ped,Weekend,Spring,0.0,64
00:00,Southern Shared Path Westbound,ped,Weekend,Summer,0.0,54
00:00,Southern Shared Path Westbound,ped,Weekend,Winter,0.0,27
00:00,Southern Shared Path Westbound,total_flow,Weekday,Autumn,2.0,65
00:00,Southern Shared Path Westbound,total_flow,Weekday,Spring,2.0,159
00:00,Southern Shared Path Westbound,total_flow,Weekday,Summer,3.0,137
00:00,Southern Shared Path Westbound,total_flow,Weekday,Winter,0.0,65
00:00,Southern Shared Path Westbound,total_flow,Weekend,Autumn,0.0,26
00:00,Southern Shared Path Westbound,total_flow,Weekend,Spring,1.0,64
00:00,Southern Shared Path Westbound,total_flow,Weekend,Summer,0.0,54
00:00,Southern Shared Path Westbound,total_flow,Weekend,Winter,0.0,27
00:05,All directions,pcl,Weekday,Autumn,1.0,65
00:05,All directions,pcl,Weekday,Spring,3.0,159
00:05,All directions,pcl,Weekday,Summer,6.0,137
00:05,All directions,pcl,Weekday,Winter,2.0,65
00:05,All directions,pcl,Weekend,Autumn,0.0,26
00:05,All directions,pcl,Weekend,Spring,2.0,64
00:05,All directions,pcl,Weekend,Summer,2.0,54
00:05,All directions,pcl,Weekend,Winter,1.0,27
00:05,All directions,ped,Weekday,Autumn,0.0,65
00:05,All directions,ped,Weekday,Spring,3.0,159
00:05,All directions,ped,Weekday,Summer,7.0,137
00:05,All directions,ped,Weekday,Winter,0.0,65
00:05,All directions,ped,Weekend,Autumn,0.0,26
00:05,All directions,ped,Weekend,Spring,4.0,64
00:05,All directions,ped,Weekend,Summer,3.0,54
00:05,All directions,ped,Weekend,Winter,0.0,27
00:05,All directions,total_flow,Weekday,Autumn,1.0,65
00:05,All directions,total_flow,Weekday,Spring,6.0,159
00:05,All directions,total_flow,Weekday,Summer,13.0,137
00:05,All directions,total_flow,Weekday,Winter,2.0,65
00:05,All directions,total_flow,Weekend,Autumn,0.0,26
00:05,All directions,total_flow,Weekend,Spring,6.0,64
00:05,All directions,total_flow,Weekend,Summer,5.0,54
00:05,All directions,total_flow,Weekend,Winter,1.0,27
00:05,Northern Shared Path Eastbound,pcl,Weekday,Autumn,0.0,65
00:05,Northern Shared Path Eastbound,pcl,Weekday,Spring,0.0,159
00:05,Northern Shared Path Eastbound,pcl,Weekday,Summer,1.0,137
00:05,Northern Shared Path Eastbound,pcl,Weekday,Winter,0.0,65
00:05,Northern Shared Path Eastbound,pcl,Weekend,Autumn,0.0,26
00:05,Northern Shared Path Eastbound,pcl,Weekend,Spring,2.0,64
00:05,Northern Shared Path Eastbound,pcl,Weekend,Summer,0.0,54
00:05,Northern Shared Path Eastbound,pcl,Weekend,Winter,1.0,27
00:05,Northern Shared Path Eastbound,ped,Weekday,Autumn,0.0,65
00:05,Northern Shared Path Eastbound,ped,Weekday,Spring,0.0,159
00:05,Northern Shared Path Eastbound,ped,Weekday,Summer,4.0,137
00:05,Northern Shared Path Eastbound,ped,Weekday,Winter,0.0,65
00:05,Northern Shared Path Eastbound,ped,Weekend,Autumn,0.0,26
00:05,Northern Shared Path Eastbound,ped,Weekend,Spring,1.0,64
00:05,Northern Shared Path Eastbound,ped,Weekend,Summer,1.0,54
00:05,Northern Shared Path Eastbound,ped,Weekend,Winter,0.0,27
00:05,Northern Shared Path Eastbound,total_flow,Weekday,Autumn,0.0,65
