weekday,direction,metric,weekpart,season,sum_flow,sample_count
Fri,All directions,pcl,Weekday,Autumn,2369.0,14
Fri,All directions,pcl,Weekday,Spring,5153.0,32
Fri,All directions,pcl,Weekday,Summer,4573.0,27
Fri,All directions,pcl,Weekday,Winter,2007.0,13
Fri,All directions,ped,Weekday,Autumn,802.0,14
Fri,All directions,ped,Weekday,Spring,1499.0,32
Fri,All directions,ped,Weekday,Summer,1557.0,27
Fri,All directions,ped,Weekday,Winter,587.0,13
Fri,All directions,total_flow,Weekday,Autumn,3171.0,14
Fri,All directions,total_flow,Weekday,Spring,6652.0,32
Fri,All directions,total_flow,Weekday,Summer,6130.0,27
Fri,All directions,total_flow,Weekday,Winter,2594.0,13
Fri,Northern Shared Path Eastbound,pcl,Weekday,Autumn,642.0,14
Fri,Northern Shared Path Eastbound,pcl,Weekday,Spring,1402.0,32
Fri,Northern Shared Path Eastbound,pcl,Weekday,Summer,1164.0,27
Fri,Northern Shared Path Eastbound,pcl,Weekday,Winter,563.0,13
Fri,Northern Shared Path Eastbound,ped,Weekday,Autumn,137.0,14
Fri,Northern Shared Path Eastbound,ped,Weekday,Spring,287.0,32
Fri,Northern Shared Path Eastbound,ped,Weekday,Summer,318.0,27
Fri,Northern Shared Path Eastbound,ped,Weekday,Winter,99.0,13
Fri,Northern Shared Path Eastbound,total_flow,Weekday,Autumn,779.0,14
Fri,Northern Shared Path Eastbound,total_flow,Weekday,Spring,1689.0,32
Fri,Northern Shared Path Eastbound,total_flow,Weekday,Summer,1482.0,27
Fri,Northern Shared Path Eastbound,total_flow,Weekday,Winter,662.0,13
Fri,Northern Shared Path Westbound,pcl,Weekday,Autumn,464.0,14
Fri,Northern Shared Path Westbound,pcl,Weekday,Spring,969.0,32
Fri,Northern Shared Path Westbound,pcl,Weekday,Summer,793.0,27
Fri,Northern Shared Path Westbound,pcl,Weekday,Winter,378.0,13
Fri,Northern Shared Path Westbound,ped,Weekday,Autumn,171.0,14
Fri,Northern Shared Path Westbound,ped,Weekday,Spring,341.0,32
Fri,Northern Shared Path Westbound,ped,Weekday,Summer,358.0,27
Fri,Northern Shared Path Westbound,ped,Weekday,Winter,102.0,13
Fri,Northern Shared Path Westbound,total_flow,Weekday,Autumn,635.0,14
Fri,Northern Shared Path Westbound,total_flow,Weekday,Spring,1310.0,32
Fri,Northern Shared Path Westbound,total_flow,Weekday,Summer,1151.0,27
Fri,Northern Shared Path Westbound,total_flow,Weekday,Winter,480.0,13
Fri,Southern Shared Path Eastbound,pcl,Weekday,Autumn,502.0,14
Fri,Southern Shared Path Eastbound,pcl,Weekday,Spring,1072.0,32
Fri,Southern Shared Path Eastbound,pcl,Weekday,Summer,980.0,27
