date,time_bin,direction,total_flow,ped,pcl
2023-09-01,00:00,All directions,5.0,1.0,4.0
2023-09-01,00:00,Northern Shared Path Eastbound,4.0,1.0,3.0
2023-09-01,00:00,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,00:00,Southern Shared Path Eastbound,1.0,0.0,1.0
2023-09-01,00:00,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,00:05,All directions,1.0,0.0,1.0
2023-09-01,00:05,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,00:05,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,00:05,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,00:05,Southern Shared Path Westbound,1.0,0.0,1.0
2023-09-01,00:10,All directions,1.0,1.0,0.0
2023-09-01,00:10,Northern Shared Path Eastbound,1.0,1.0,0.0
2023-09-01,00:10,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,00:10,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,00:10,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,00:15,All directions,1.0,0.0,1.0
2023-09-01,00:15,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,00:15,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,00:15,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,00:15,Southern Shared Path Westbound,1.0,0.0,1.0
2023-09-01,00:20,All directions,3.0,0.0,3.0
2023-09-01,00:20,Northern Shared Path Eastbound,1.0,0.0,1.0
2023-09-01,00:20,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,00:20,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,00:20,Southern Shared Path Westbound,2.0,0.0,2.0
2023-09-01,00:25,All directions,6.0,2.0,4.0
2023-09-01,00:25,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,00:25,Northern Shared Path Westbound,2.0,2.0,0.0
2023-09-01,00:25,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,00:25,Southern Shared Path Westbound,4.0,0.0,4.0
2023-09-01,00:30,All directions,1.0,0.0,1.0
2023-09-01,00:30,Northern Shared Path Eastbound,1.0,0.0,1.0
2023-09-01,00:30,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,00:30,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,00:30,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,00:35,All directions,0.0,0.0,0.0
2023-09-01,00:35,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,00:35,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,00:35,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,00:35,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,00:40,All directions,0.0,0.0,0.0
2023-09-01,00:40,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,00:40,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,00:40,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,00:40,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,00:45,All directions,1.0,1.0,0.0
2023-09-01,00:45,Northern Shared Path Eastbound,1.0,1.0,0.0
2023-09-01,00:45,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,00:45,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,00:45,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,00:50,All directions,0.0,0.0,0.0
2023-09-01,00:50,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,00:50,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,00:50,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,00:50,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,00:55,All directions,0.0,0.0,0.0
2023-09-01,00:55,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,00:55,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,00:55,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,00:55,Southern Shared Path Westbound,0.0,0.0,0.0
