month,direction,metric,weekpart,season,sum_flow,sample_count
Apr,All directions,art3,All weeks,Autumn,30811.0,38
Apr,All directions,art4,All weeks,Autumn,23237.0,38
Apr,All directions,art5,All weeks,Autumn,8993.0,38
Apr,All directions,art6,All weeks,Autumn,47408.0,38
Apr,All directions,bd,All weeks,Autumn,9098.0,38
Apr,All directions,drt,All weeks,Autumn,47.0,38
Apr,All directions,sv,All weeks,Autumn,15745913.0,38
Apr,All directions,svt,All weeks,Autumn,169184.0,38
Apr,All directions,t4,All weeks,Autumn,26225.0,38
Apr,All directions,tb2,All weeks,Autumn,1208227.0,38
Apr,All directions,tb3,All weeks,Autumn,62091.0,38
Apr,All directions,total_flow,All weeks,Autumn,17332168.0,38
Apr,All directions,trt,All weeks,Autumn,0.0,38
Apr,All directions,ucv,All weeks,Autumn,934.0,38
Apr,Eastbound Centre Lane,art3,All weeks,Autumn,10978.0,38
Apr,Eastbound Centre Lane,art4,All weeks,Autumn,8278.0,38
Apr,Eastbound Centre Lane,art5,All weeks,Autumn,3995.0,38
Apr,Eastbound Centre Lane,art6,All weeks,Autumn,23881.0,38
Apr,Eastbound Centre Lane,bd,All weeks,Autumn,4312.0,38
Apr,Eastbound Centre Lane,drt,All weeks,Autumn,9.0,38
Apr,Eastbound Centre Lane,sv,All weeks,Autumn,4538578.0,38
Apr,Eastbound Centre Lane,svt,All weeks,Autumn,54071.0,38
Apr,Eastbound Centre Lane,t4,All weeks,Autumn,11229.0,38
Apr,Eastbound Centre Lane,tb2,All weeks,Autumn,366781.0,38
Apr,Eastbound Centre Lane,tb3,All weeks,Autumn,25234.0,38
Apr,Eastbound Centre Lane,total_flow,All weeks,Autumn,5047393.0,38
Apr,Eastbound Centre Lane,trt,All weeks,Autumn,0.0,38
Apr,Eastbound Centre Lane,ucv,All weeks,Autumn,47.0,38
Apr,Eastbound Left Lane,art3,All weeks,Autumn,1434.0,38
Apr,Eastbound Left Lane,art4,All weeks,Autumn,1019.0,38
Apr,Eastbound Left Lane,art5,All weeks,Autumn,228.0,38
Apr,Eastbound Left Lane,art6,All weeks,Autumn,596.0,38
Apr,Eastbound Left Lane,bd,All weeks,Autumn,41.0,38
Apr,Eastbound Left Lane,drt,All weeks,Autumn,0.0,38
Apr,Eastbound Left Lane,sv,All weeks,Autumn,1211406.0,38
Apr,Eastbound Left Lane,svt,All weeks,Autumn,8737.0,38
Apr,Eastbound Left Lane,t4,All weeks,Autumn,1095.0,38
Apr,Eastbound Left Lane,tb2,All weeks,Autumn,68320.0,38
Apr,Eastbound Left Lane,tb3,All weeks,Autumn,2290.0,38
Apr,Eastbound Left Lane,total_flow,All weeks,Autumn,1295169.0,38
Apr,Eastbound Left Lane,trt,All weeks,Autumn,0.0,38
Apr,Eastbound Left Lane,ucv,All weeks,Autumn,3.0,38
Apr,Eastbound Right Lane,art3,All weeks,Autumn,2265.0,38
Apr,Eastbound Right Lane,art4,All weeks,Autumn,2066.0,38
Apr,Eastbound Right Lane,art5,All weeks,Autumn,367.0,38
Apr,Eastbound Right Lane,art6,All weeks,Autumn,1549.0,38
Apr,Eastbound Right Lane,bd,All weeks,Autumn,239.0,38
Apr,Eastbound Right Lane,drt,All weeks,Autumn,4.0,38
Apr,Eastbound Right Lane,sv,All weeks,Autumn,2307257.0,38
Apr,Eastbound Right Lane,svt,All weeks,Autumn,23989.0,38
Apr,Eastbound Right Lane,t4,All weeks,Autumn,1153.0,38
Apr,Eastbound Right Lane,tb2,All weeks,Autumn,132269.0,38
Apr,Eastbound Right Lane,tb3,All weeks,Autumn,3292.0,38
Apr,Eastbound Right Lane,total_flow,All weeks,Autumn,2474466.0,38
Apr,Eastbound Right Lane,trt,All weeks,Autumn,0.0,38
Apr,Eastbound Right Lane,ucv,All weeks,Autumn,16.0,38
Apr,Westbound Centre Lane,art3,All weeks,Autumn,3842.0,38
Apr,Westbound Centre Lane,art4,All weeks,Autumn,2940.0,38
Apr,Westbound Centre Lane,art5,All weeks,Autumn,751.0,38
Apr,Westbound Centre Lane,art6,All weeks,Autumn,1559.0,38
Apr,Westbound Centre Lane,bd,All weeks,Autumn,281.0,38
Apr,Westbound Centre Lane,drt,All weeks,Autumn,9.0,38
Apr,Westbound Centre Lane,sv,All weeks,Autumn,2260141.0,38
Apr,Westbound Centre Lane,svt,All weeks,Autumn,21984.0,38
Apr,Westbound Centre Lane,t4,All weeks,Autumn,2129.0,38
Apr,Westbound Centre Lane,tb2,All weeks,Autumn,165240.0,38
Apr,Westbound Centre Lane,tb3,All weeks,Autumn,5481.0,38
Apr,Westbound Centre Lane,total_flow,All weeks,Autumn,2464753.0,38
Apr,Westbound Centre Lane,trt,All weeks,Autumn,0.0,38
Apr,Westbound Centre Lane,ucv,All weeks,Autumn,396.0,38
Apr,Westbound Left Lane,art3,All weeks,Autumn,11988.0,38
Apr,Westbound Left Lane,art4,All weeks,Autumn,8768.0,38
Apr,Westbound Left Lane,art5,All weeks,Autumn,3635.0,38
Apr,Westbound Left Lane,art6,All weeks,Autumn,19785.0,38
Apr,Westbound Left Lane,bd,All weeks,Autumn,4221.0,38
Apr,Westbound Left Lane,drt,All weeks,Autumn,24.0,38
Apr,Westbound Left Lane,sv,All weeks,Autumn,5084288.0,38
Apr,Westbound Left Lane,svt,All weeks,Autumn,58925.0,38
Apr,Westbound Left Lane,t4,All weeks,Autumn,10534.0,38
Apr,Westbound Left Lane,tb2,All weeks,Autumn,453890.0,38
Apr,Westbound Left Lane,tb3,All weeks,Autumn,25556.0,38
Apr,Westbound Left Lane,total_flow,All weeks,Autumn,5682066.0,38
Apr,Westbound Left Lane,trt,All weeks,Autumn,0.0,38
Apr,Westbound Left Lane,ucv,All weeks,Autumn,452.0,38
Apr,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,art3,All weeks,Autumn,304.0,38
Apr,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,art4,All weeks,Autumn,166.0,38
Apr,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,art5,All weeks,Autumn,17.0,38
Apr,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,art6,All weeks,Autumn,38.0,38
Apr,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,bd,All weeks,Autumn,4.0,38
Apr,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,drt,All weeks,Autumn,1.0,38
Apr,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,sv,All weeks,Autumn,344243.0,38
Apr,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,svt,All weeks,Autumn,1478.0,38
Apr,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,t4,All weeks,Autumn,85.0,38
Apr,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,tb2,All weeks,Autumn,21727.0,38
Apr,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,tb3,All weeks,Autumn,238.0,38
Apr,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,total_flow,All weeks,Autumn,368321.0,38
Apr,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,trt,All weeks,Autumn,0.0,38
Apr,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,ucv,All weeks,Autumn,20.0,38
Aug,All directions,art3,All weeks,Winter,25787.0,33
Aug,All directions,art4,All weeks,Winter,18186.0,33
Aug,All directions,art5,All weeks,Winter,7390.0,33
Aug,All directions,art6,All weeks,Winter,41748.0,33
Aug,All directions,bd,All weeks,Winter,7497.0,33
Aug,All directions,drt,All weeks,Winter,45.0,33
Aug,All directions,sv,All weeks,Winter,14277260.0,33
Aug,All directions,svt,All weeks,Winter,125266.0,33
Aug,All directions,t4,All weeks,Winter,22616.0,33
Aug,All directions,tb2,All weeks,Winter,1077009.0,33
Aug,All directions,tb3,All weeks,Winter,53814.0,33
Aug,All directions,total_flow,All weeks,Winter,15657451.0,33
Aug,All directions,trt,All weeks,Winter,3.0,33
Aug,All directions,ucv,All weeks,Winter,830.0,33
Aug,Eastbound Centre Lane,art3,All weeks,Winter,9388.0,33
Aug,Eastbound Centre Lane,art4,All weeks,Winter,6557.0,33
Aug,Eastbound Centre Lane,art5,All weeks,Winter,3238.0,33
Aug,Eastbound Centre Lane,art6,All weeks,Winter,21118.0,33
Aug,Eastbound Centre Lane,bd,All weeks,Winter,3518.0,33
Aug,Eastbound Centre Lane,drt,All weeks,Winter,13.0,33
Aug,Eastbound Centre Lane,sv,All weeks,Winter,4084321.0,33
Aug,Eastbound Centre Lane,svt,All weeks,Winter,39304.0,33
Aug,Eastbound Centre Lane,t4,All weeks,Winter,9714.0,33
Aug,Eastbound Centre Lane,tb2,All weeks,Winter,331219.0,33
Aug,Eastbound Centre Lane,tb3,All weeks,Winter,21598.0,33
Aug,Eastbound Centre Lane,total_flow,All weeks,Winter,4530022.0,33
Aug,Eastbound Centre Lane,trt,All weeks,Winter,0.0,33
Aug,Eastbound Centre Lane,ucv,All weeks,Winter,34.0,33
Aug,Eastbound Left Lane,art3,All weeks,Winter,1514.0,33
Aug,Eastbound Left Lane,art4,All weeks,Winter,901.0,33
Aug,Eastbound Left Lane,art5,All weeks,Winter,208.0,33
Aug,Eastbound Left Lane,art6,All weeks,Winter,512.0,33
Aug,Eastbound Left Lane,bd,All weeks,Winter,68.0,33
Aug,Eastbound Left Lane,drt,All weeks,Winter,0.0,33
Aug,Eastbound Left Lane,sv,All weeks,Winter,1140125.0,33
Aug,Eastbound Left Lane,svt,All weeks,Winter,6722.0,33
Aug,Eastbound Left Lane,t4,All weeks,Winter,1043.0,33
Aug,Eastbound Left Lane,tb2,All weeks,Winter,64764.0,33
Aug,Eastbound Left Lane,tb3,All weeks,Winter,2147.0,33
Aug,Eastbound Left Lane,total_flow,All weeks,Winter,1218013.0,33
Aug,Eastbound Left Lane,trt,All weeks,Winter,0.0,33
Aug,Eastbound Left Lane,ucv,All weeks,Winter,9.0,33
Aug,Eastbound Right Lane,art3,All weeks,Winter,1675.0,33
Aug,Eastbound Right Lane,art4,All weeks,Winter,1593.0,33
Aug,Eastbound Right Lane,art5,All weeks,Winter,247.0,33
Aug,Eastbound Right Lane,art6,All weeks,Winter,1250.0,33
Aug,Eastbound Right Lane,bd,All weeks,Winter,198.0,33
Aug,Eastbound Right Lane,drt,All weeks,Winter,2.0,33
Aug,Eastbound Right Lane,sv,All weeks,Winter,2087098.0,33
Aug,Eastbound Right Lane,svt,All weeks,Winter,17766.0,33
Aug,Eastbound Right Lane,t4,All weeks,Winter,893.0,33
Aug,Eastbound Right Lane,tb2,All weeks,Winter,118873.0,33
Aug,Eastbound Right Lane,tb3,All weeks,Winter,2770.0,33
Aug,Eastbound Right Lane,total_flow,All weeks,Winter,2232380.0,33
Aug,Eastbound Right Lane,trt,All weeks,Winter,0.0,33
Aug,Eastbound Right Lane,ucv,All weeks,Winter,15.0,33
Aug,Westbound Centre Lane,art3,All weeks,Winter,3254.0,33
Aug,Westbound Centre Lane,art4,All weeks,Winter,2315.0,33
Aug,Westbound Centre Lane,art5,All weeks,Winter,649.0,33
Aug,Westbound Centre Lane,art6,All weeks,Winter,1592.0,33
