time_bin,direction,metric,weekpart,season,sum_flow,sample_count
00:00,All directions,art3,Weekday,Autumn,3.0,547
00:00,All directions,art3,Weekday,Spring,4.0,557
00:00,All directions,art3,Weekday,Summer,7.0,586
00:00,All directions,art3,Weekday,Winter,4.0,437
00:00,All directions,art3,Weekend,Autumn,4.0,221
00:00,All directions,art3,Weekend,Spring,7.0,228
00:00,All directions,art3,Weekend,Summer,10.0,236
00:00,All directions,art3,Weekend,Winter,5.0,178
00:00,All directions,art4,Weekday,Autumn,1.0,547
00:00,All directions,art4,Weekday,Spring,5.0,557
00:00,All directions,art4,Weekday,Summer,4.0,586
00:00,All directions,art4,Weekday,Winter,2.0,437
00:00,All directions,art4,Weekend,Autumn,0.0,221
00:00,All directions,art4,Weekend,Spring,3.0,228
00:00,All directions,art4,Weekend,Summer,5.0,236
00:00,All directions,art4,Weekend,Winter,1.0,178
00:00,All directions,art5,Weekday,Autumn,45.0,547
00:00,All directions,art5,Weekday,Spring,46.0,557
00:00,All directions,art5,Weekday,Summer,60.0,586
00:00,All directions,art5,Weekday,Winter,29.0,437
00:00,All directions,art5,Weekend,Autumn,2.0,221
00:00,All directions,art5,Weekend,Spring,10.0,228
00:00,All directions,art5,Weekend,Summer,8.0,236
00:00,All directions,art5,Weekend,Winter,2.0,178
00:00,All directions,art6,Weekday,Autumn,75.0,547
00:00,All directions,art6,Weekday,Spring,114.0,557
00:00,All directions,art6,Weekday,Summer,82.0,586
00:00,All directions,art6,Weekday,Winter,65.0,437
00:00,All directions,art6,Weekend,Autumn,11.0,221
00:00,All directions,art6,Weekend,Spring,19.0,228
00:00,All directions,art6,Weekend,Summer,19.0,236
00:00,All directions,art6,Weekend,Winter,7.0,178
00:00,All directions,bd,Weekday,Autumn,14.0,547
00:00,All directions,bd,Weekday,Spring,15.0,557
00:00,All directions,bd,Weekday,Summer,10.0,586
00:00,All directions,bd,Weekday,Winter,7.0,437
00:00,All directions,bd,Weekend,Autumn,1.0,221
00:00,All directions,bd,Weekend,Spring,1.0,228
00:00,All directions,bd,Weekend,Summer,2.0,236
00:00,All directions,bd,Weekend,Winter,0.0,178
00:00,All directions,drt,Weekday,Autumn,0.0,547
00:00,All directions,drt,Weekday,Spring,0.0,557
00:00,All directions,drt,Weekday,Summer,0.0,586
00:00,All directions,drt,Weekday,Winter,0.0,437
00:00,All directions,drt,Weekend,Autumn,0.0,221
00:00,All directions,drt,Weekend,Spring,0.0,228
00:00,All directions,drt,Weekend,Summer,0.0,236
00:00,All directions,drt,Weekend,Winter,0.0,178
00:00,All directions,sv,Weekday,Autumn,10983.0,547
00:00,All directions,sv,Weekday,Spring,12104.0,557
00:00,All directions,sv,Weekday,Summer,16033.0,586
00:00,All directions,sv,Weekday,Winter,8936.0,437
00:00,All directions,sv,Weekend,Autumn,10455.0,221
00:00,All directions,sv,Weekend,Spring,12693.0,228
00:00,All directions,sv,Weekend,Summer,14492.0,236
00:00,All directions,sv,Weekend,Winter,9360.0,178
00:00,All directions,svt,Weekday,Autumn,19.0,547
00:00,All directions,svt,Weekday,Spring,25.0,557
00:00,All directions,svt,Weekday,Summer,26.0,586
00:00,All directions,svt,Weekday,Winter,11.0,437
00:00,All directions,svt,Weekend,Autumn,10.0,221
00:00,All directions,svt,Weekend,Spring,26.0,228
00:00,All directions,svt,Weekend,Summer,19.0,236
00:00,All directions,svt,Weekend,Winter,11.0,178
00:00,All directions,t4,Weekday,Autumn,14.0,547
00:00,All directions,t4,Weekday,Spring,12.0,557
00:00,All directions,t4,Weekday,Summer,16.0,586
00:00,All directions,t4,Weekday,Winter,4.0,437
00:00,All directions,t4,Weekend,Autumn,5.0,221
00:00,All directions,t4,Weekend,Spring,1.0,228
00:00,All directions,t4,Weekend,Summer,0.0,236
00:00,All directions,t4,Weekend,Winter,2.0,178
00:00,All directions,tb2,Weekday,Autumn,602.0,547
00:00,All directions,tb2,Weekday,Spring,602.0,557
00:00,All directions,tb2,Weekday,Summer,689.0,586
00:00,All directions,tb2,Weekday,Winter,432.0,437
00:00,All directions,tb2,Weekend,Autumn,537.0,221
00:00,All directions,tb2,Weekend,Spring,663.0,228
00:00,All directions,tb2,Weekend,Summer,695.0,236
00:00,All directions,tb2,Weekend,Winter,465.0,178
