weekday,direction,metric,weekpart,season,sum_flow,sample_count
Fri,All directions,art3,Weekday,Autumn,16790.0,110
Fri,All directions,art3,Weekday,Spring,17431.0,115
Fri,All directions,art3,Weekday,Summer,17603.0,118
Fri,All directions,art3,Weekday,Winter,12671.0,90
Fri,All directions,art4,Weekday,Autumn,12062.0,110
Fri,All directions,art4,Weekday,Spring,12032.0,115
Fri,All directions,art4,Weekday,Summer,12364.0,118
Fri,All directions,art4,Weekday,Winter,9500.0,90
Fri,All directions,art5,Weekday,Autumn,4448.0,110
Fri,All directions,art5,Weekday,Spring,5058.0,115
Fri,All directions,art5,Weekday,Summer,5006.0,118
Fri,All directions,art5,Weekday,Winter,3649.0,90
Fri,All directions,art6,Weekday,Autumn,26024.0,110
Fri,All directions,art6,Weekday,Spring,28120.0,115
Fri,All directions,art6,Weekday,Summer,27262.0,118
Fri,All directions,art6,Weekday,Winter,21589.0,90
Fri,All directions,bd,Weekday,Autumn,4420.0,110
Fri,All directions,bd,Weekday,Spring,5076.0,115
Fri,All directions,bd,Weekday,Summer,4735.0,118
Fri,All directions,bd,Weekday,Winter,3671.0,90
Fri,All directions,drt,Weekday,Autumn,35.0,110
Fri,All directions,drt,Weekday,Spring,33.0,115
Fri,All directions,drt,Weekday,Summer,31.0,118
Fri,All directions,drt,Weekday,Winter,25.0,90
Fri,All directions,sv,Weekday,Autumn,7522579.0,110
Fri,All directions,sv,Weekday,Spring,8246993.0,115
Fri,All directions,sv,Weekday,Summer,8547573.0,118
Fri,All directions,sv,Weekday,Winter,6431249.0,90
Fri,All directions,svt,Weekday,Autumn,81710.0,110
Fri,All directions,svt,Weekday,Spring,81359.0,115
Fri,All directions,svt,Weekday,Summer,95262.0,118
Fri,All directions,svt,Weekday,Winter,59553.0,90
Fri,All directions,t4,Weekday,Autumn,14745.0,110
Fri,All directions,t4,Weekday,Spring,15570.0,115
Fri,All directions,t4,Weekday,Summer,14517.0,118
Fri,All directions,t4,Weekday,Winter,12459.0,90
Fri,All directions,tb2,Weekday,Autumn,625769.0,110
Fri,All directions,tb2,Weekday,Spring,666612.0,115
Fri,All directions,tb2,Weekday,Summer,661512.0,118
Fri,All directions,tb2,Weekday,Winter,543215.0,90
Fri,All directions,tb3,Weekday,Autumn,33344.0,110
Fri,All directions,tb3,Weekday,Spring,35714.0,115
Fri,All directions,tb3,Weekday,Summer,34947.0,118
Fri,All directions,tb3,Weekday,Winter,28602.0,90
Fri,All directions,total_flow,Weekday,Autumn,8342395.0,110
Fri,All directions,total_flow,Weekday,Spring,9114468.0,115
Fri,All directions,total_flow,Weekday,Summer,9421360.0,118
Fri,All directions,total_flow,Weekday,Winter,7126562.0,90
Fri,All directions,trt,Weekday,Autumn,0.0,110
Fri,All directions,trt,Weekday,Spring,3.0,115
Fri,All directions,trt,Weekday,Summer,2.0,118
Fri,All directions,trt,Weekday,Winter,0.0,90
Fri,All directions,ucv,Weekday,Autumn,469.0,110
Fri,All directions,ucv,Weekday,Spring,467.0,115
Fri,All directions,ucv,Weekday,Summer,546.0,118
Fri,All directions,ucv,Weekday,Winter,379.0,90
Fri,Eastbound Centre Lane,art3,Weekday,Autumn,6220.0,110
Fri,Eastbound Centre Lane,art3,Weekday,Spring,6389.0,115
Fri,Eastbound Centre Lane,art3,Weekday,Summer,6327.0,118
Fri,Eastbound Centre Lane,art3,Weekday,Winter,4718.0,90
Fri,Eastbound Centre Lane,art4,Weekday,Autumn,4437.0,110
Fri,Eastbound Centre Lane,art4,Weekday,Spring,4363.0,115
Fri,Eastbound Centre Lane,art4,Weekday,Summer,4578.0,118
Fri,Eastbound Centre Lane,art4,Weekday,Winter,3442.0,90
Fri,Eastbound Centre Lane,art5,Weekday,Autumn,1958.0,110
Fri,Eastbound Centre Lane,art5,Weekday,Spring,2211.0,115
Fri,Eastbound Centre Lane,art5,Weekday,Summer,2110.0,118
Fri,Eastbound Centre Lane,art5,Weekday,Winter,1627.0,90
Fri,Eastbound Centre Lane,art6,Weekday,Autumn,13082.0,110
Fri,Eastbound Centre Lane,art6,Weekday,Spring,14050.0,115
Fri,Eastbound Centre Lane,art6,Weekday,Summer,13344.0,118
Fri,Eastbound Centre Lane,art6,Weekday,Winter,10888.0,90
Fri,Eastbound Centre Lane,bd,Weekday,Autumn,2127.0,110
Fri,Eastbound Centre Lane,bd,Weekday,Spring,2457.0,115
Fri,Eastbound Centre Lane,bd,Weekday,Summer,2261.0,118
Fri,Eastbound Centre Lane,bd,Weekday,Winter,1764.0,90
Fri,Eastbound Centre Lane,drt,Weekday,Autumn,15.0,110
Fri,Eastbound Centre Lane,drt,Weekday,Spring,6.0,115
Fri,Eastbound Centre Lane,drt,Weekday,Summer,8.0,118
Fri,Eastbound Centre Lane,drt,Weekday,Winter,8.0,90
Fri,Eastbound Centre Lane,sv,Weekday,Autumn,2133424.0,110
Fri,Eastbound Centre Lane,sv,Weekday,Spring,2333657.0,115
Fri,Eastbound Centre Lane,sv,Weekday,Summer,2387537.0,118
Fri,Eastbound Centre Lane,sv,Weekday,Winter,1824330.0,90
Fri,Eastbound Centre Lane,svt,Weekday,Autumn,27018.0,110
Fri,Eastbound Centre Lane,svt,Weekday,Spring,25943.0,115
Fri,Eastbound Centre Lane,svt,Weekday,Summer,30597.0,118
Fri,Eastbound Centre Lane,svt,Weekday,Winter,19109.0,90
Fri,Eastbound Centre Lane,t4,Weekday,Autumn,6225.0,110
Fri,Eastbound Centre Lane,t4,Weekday,Spring,6627.0,115
Fri,Eastbound Centre Lane,t4,Weekday,Summer,6021.0,118
Fri,Eastbound Centre Lane,t4,Weekday,Winter,5248.0,90
Fri,Eastbound Centre Lane,tb2,Weekday,Autumn,190621.0,110
Fri,Eastbound Centre Lane,tb2,Weekday,Spring,204746.0,115
Fri,Eastbound Centre Lane,tb2,Weekday,Summer,199773.0,118
Fri,Eastbound Centre Lane,tb2,Weekday,Winter,164831.0,90
Fri,Eastbound Centre Lane,tb3,Weekday,Autumn,13518.0,110
Fri,Eastbound Centre Lane,tb3,Weekday,Spring,14637.0,115
Fri,Eastbound Centre Lane,tb3,Weekday,Summer,13600.0,118
Fri,Eastbound Centre Lane,tb3,Weekday,Winter,11476.0,90
Fri,Eastbound Centre Lane,total_flow,Weekday,Autumn,2398667.0,110
Fri,Eastbound Centre Lane,total_flow,Weekday,Spring,2615111.0,115
Fri,Eastbound Centre Lane,total_flow,Weekday,Summer,2666190.0,118
Fri,Eastbound Centre Lane,total_flow,Weekday,Winter,2047460.0,90
Fri,Eastbound Centre Lane,trt,Weekday,Autumn,0.0,110
Fri,Eastbound Centre Lane,trt,Weekday,Spring,0.0,115
Fri,Eastbound Centre Lane,trt,Weekday,Summer,0.0,118
Fri,Eastbound Centre Lane,trt,Weekday,Winter,0.0,90
Fri,Eastbound Centre Lane,ucv,Weekday,Autumn,22.0,110
Fri,Eastbound Centre Lane,ucv,Weekday,Spring,25.0,115
Fri,Eastbound Centre Lane,ucv,Weekday,Summer,34.0,118
Fri,Eastbound Centre Lane,ucv,Weekday,Winter,19.0,90
Fri,Eastbound Left Lane,art3,Weekday,Autumn,828.0,110
Fri,Eastbound Left Lane,art3,Weekday,Spring,916.0,115
Fri,Eastbound Left Lane,art3,Weekday,Summer,829.0,118
Fri,Eastbound Left Lane,art3,Weekday,Winter,713.0,90
Fri,Eastbound Left Lane,art4,Weekday,Autumn,522.0,110
Fri,Eastbound Left Lane,art4,Weekday,Spring,618.0,115
Fri,Eastbound Left Lane,art4,Weekday,Summer,619.0,118
Fri,Eastbound Left Lane,art4,Weekday,Winter,495.0,90
Fri,Eastbound Left Lane,art5,Weekday,Autumn,99.0,110
Fri,Eastbound Left Lane,art5,Weekday,Spring,115.0,115
Fri,Eastbound Left Lane,art5,Weekday,Summer,122.0,118
Fri,Eastbound Left Lane,art5,Weekday,Winter,64.0,90
Fri,Eastbound Left Lane,art6,Weekday,Autumn,357.0,110
Fri,Eastbound Left Lane,art6,Weekday,Spring,380.0,115
Fri,Eastbound Left Lane,art6,Weekday,Summer,433.0,118
Fri,Eastbound Left Lane,art6,Weekday,Winter,258.0,90
Fri,Eastbound Left Lane,bd,Weekday,Autumn,30.0,110
Fri,Eastbound Left Lane,bd,Weekday,Spring,35.0,115
Fri,Eastbound Left Lane,bd,Weekday,Summer,40.0,118
Fri,Eastbound Left Lane,bd,Weekday,Winter,26.0,90
Fri,Eastbound Left Lane,drt,Weekday,Autumn,0.0,110
Fri,Eastbound Left Lane,drt,Weekday,Spring,0.0,115
Fri,Eastbound Left Lane,drt,Weekday,Summer,0.0,118
Fri,Eastbound Left Lane,drt,Weekday,Winter,0.0,90
Fri,Eastbound Left Lane,sv,Weekday,Autumn,587435.0,110
Fri,Eastbound Left Lane,sv,Weekday,Spring,646106.0,115
Fri,Eastbound Left Lane,sv,Weekday,Summer,652596.0,118
Fri,Eastbound Left Lane,sv,Weekday,Winter,506457.0,90
Fri,Eastbound Left Lane,svt,Weekday,Autumn,4131.0,110
Fri,Eastbound Left Lane,svt,Weekday,Spring,4307.0,115
Fri,Eastbound Left Lane,svt,Weekday,Summer,4726.0,118
Fri,Eastbound Left Lane,svt,Weekday,Winter,3084.0,90
Fri,Eastbound Left Lane,t4,Weekday,Autumn,620.0,110
Fri,Eastbound Left Lane,t4,Weekday,Spring,546.0,115
Fri,Eastbound Left Lane,t4,Weekday,Summer,595.0,118
